Packet drops detected:
At index 22844 (Timestamp: 20240605 12:40:17), Delay: 3.0 seconds
At index 23126 (Timestamp: 20240605 12:45:00), Delay: 2.0 seconds
At index 23619 (Timestamp: 20240605 12:53:14), Delay: 2.0 seconds
At index 24288 (Timestamp: 20240605 13:04:24), Delay: 2.0 seconds
At index 24514 (Timestamp: 20240605 13:08:11), Delay: 2.0 seconds
At index 24578 (Timestamp: 20240605 13:09:17), Delay: 3.0 seconds
At index 24588 (Timestamp: 20240605 13:09:28), Delay: 2.0 seconds
At index 24621 (Timestamp: 20240605 13:10:02), Delay: 2.0 seconds
At index 24690 (Timestamp: 20240605 13:11:12), Delay: 2.0 seconds
At index 24755 (Timestamp: 20240605 13:12:18), Delay: 2.0 seconds
At index 24784 (Timestamp: 20240605 13:12:49), Delay: 3.0 seconds
At index 24815 (Timestamp: 20240605 13:13:21), Delay: 2.0 seconds
At index 24821 (Timestamp: 20240605 13:13:27), Delay: 2.0 seconds
At index 24851 (Timestamp: 20240605 13:13:58), Delay: 2.0 seconds
At index 24892 (Timestamp: 20240605 13:14:40), Delay: 2.0 seconds
At index 24906 (Timestamp: 20240605 13:14:55), Delay: 2.0 seconds
At index 24966 (Timestamp: 20240605 13:15:56), Delay: 2.0 seconds
At index 25027 (Timestamp: 20240605 13:16:58), Delay: 2.0 seconds
At index 25079 (Timestamp: 20240605 13:17:51), Delay: 2.0 seconds
At index 25124 (Timestamp: 20240605 13:18:37), Delay: 2.0 seconds
At index 25170 (Timestamp: 20240605 13:19:24), Delay: 2.0 seconds
At index 25212 (Timestamp: 20240605 13:20:07), Delay: 2.0 seconds
At index 25276 (Timestamp: 20240605 13:21:12), Delay: 2.0 seconds
At index 25336 (Timestamp: 20240605 13:22:13), Delay: 2.0 seconds
At index 25342 (Timestamp: 20240605 13:22:20), Delay: 2.0 seconds
At index 25391 (Timestamp: 20240605 13:23:10), Delay: 2.0 seconds
At index 25435 (Timestamp: 20240605 13:23:55), Delay: 2.0 seconds
At index 25474 (Timestamp: 20240605 13:24:35), Delay: 2.0 seconds
At index 25483 (Timestamp: 20240605 13:24:45), Delay: 2.0 seconds
At index 25499 (Timestamp: 20240605 13:25:02), Delay: 2.0 seconds
At index 25530 (Timestamp: 20240605 13:25:34), Delay: 2.0 seconds
At index 25537 (Timestamp: 20240605 13:25:42), Delay: 2.0 seconds
At index 25580 (Timestamp: 20240605 13:26:26), Delay: 2.0 seconds
At index 25601 (Timestamp: 20240605 13:26:48), Delay: 2.0 seconds
At index 25634 (Timestamp: 20240605 13:27:22), Delay: 2.0 seconds
At index 25697 (Timestamp: 20240605 13:28:26), Delay: 2.0 seconds
At index 25724 (Timestamp: 20240605 13:28:54), Delay: 2.0 seconds
At index 25757 (Timestamp: 20240605 13:29:28), Delay: 2.0 seconds
At index 25798 (Timestamp: 20240605 13:30:10), Delay: 2.0 seconds
At index 25817 (Timestamp: 20240605 13:30:30), Delay: 2.0 seconds
At index 25840 (Timestamp: 20240605 13:30:54), Delay: 2.0 seconds
At index 25891 (Timestamp: 20240605 13:31:46), Delay: 2.0 seconds
At index 25931 (Timestamp: 20240605 13:32:27), Delay: 2.0 seconds
At index 25984 (Timestamp: 20240605 13:33:22), Delay: 3.0 seconds
At index 25985 (Timestamp: 20240605 13:33:24), Delay: 2.0 seconds
At index 26029 (Timestamp: 20240605 13:34:09), Delay: 2.0 seconds
At index 26059 (Timestamp: 20240605 13:34:40), Delay: 2.0 seconds
At index 26094 (Timestamp: 20240605 13:35:16), Delay: 2.0 seconds
At index 26140 (Timestamp: 20240605 13:36:03), Delay: 2.0 seconds
